Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,2025-08-08 00:00:00,,Liste der Besitzstände,,,,
,TARDOC 1.4c,,,,,,
,Ambulante Pauschalen 1.1c,,,,,,
,,,,,,,
,Typ,"LNr. TARDOC
Basisfallgruppe",Bezeichnung TARDOC / Basisfallgruppe,Besitzstand anmelden möglich,Begründung,Vorgängerposition TARMED 01.09.00_BR,Bezeichnung TARMED
,Pauschale,C01.16*,-,Ja,-,16.0730,"Sympathektomie, thorakal"
,Pauschale,C01.50*,-,Nein,"Alle Fallgruppen dieser Basisfallgruppe verfügen über die Qualitative Dignität ""9999 Alle"" und können durch alle Ärzte unabhängig der Weiterbidlungstitel abgerechnet werden. Eine Besitzstandswahrung ist aus diesem Grund nicht notwendig. ",-,-
,Pauschale,C02.02*,-,Ja,-,07.1930,"Dekompression der Orbita, jede Methode, als alleinige Leistung"
,Pauschale,C02.02*,-,Ja,-,07.2000,"Orbitawandresektion/Orbitawand-Osteotomie, eine Wand, pro Auge, als alleinige Leistung"
,Pauschale,C02.02*,-,Ja,-,07.2010,"Orbitawandresektion/Orbitawand-Osteotomie, zwei Wände, pro Auge, als alleinige Leistung"
,Pauschale,C02.02*,-,Ja,-,07.2020,"Orbitawandresektion/Orbitawand-Osteotomie, drei Wände, pro Auge, als alleinige Leistung"
,Pauschale,C02.02*,-,Ja,-,07.2030,"Enucleatio bulbi/Evisceratio bulbi, als alleinige Leistung"
,Pauschale,C02.02*,-,Ja,-,07.2040,"Exenteratio orbitae, als alleinige Leistung"
,Pauschale,C02.02*,-,Ja,-,07.2050,"Vorbereitung der Orbita für die Aufnahme eines Kunstauges, einseitig, als alleinige Leistung"
,Pauschale,C02.02*,-,Ja,-,07.2060,"Vorbereitung der Orbita für die Aufnahme eines Kunstauges, beidseitig, als alleinige Leistung"
,Pauschale,C02.02*,-,Ja,-,07.2070,"Exstirpation eines Orbitatumors, als alleinige Leistung"
,Pauschale,C02.02*,-,Ja,-,08.2300,"Keratoplastik, perforierend"
,Pauschale,C02.02*,-,Ja,-,08.2910,Reposition einer vollständig in den Glaskörper luxierten künstlichen Linse ohne/mit Nahtfixation
,Pauschale,C02.02*,-,Ja,-,08.3070,Transkonjunktivale Kryokoagulation der Netzhaut unter optischer Kontrolle
,Pauschale,C02.02*,-,Ja,-,08.3080,"Plombage oder Einsetzen einer Ballonplombe am Auge, inkl. Kryokoagulation oder Lichtkoagulation"
,Pauschale,C02.02*,-,Ja,-,08.3090,"Cerclage am Auge, inkl. Kryokoagulation oder Lichtkoagulation"
,Pauschale,C02.02*,-,Ja,-,08.3120,"Entfernung von äusserem Tamponadematerial (Cerclage, Plombe)"
,Pauschale,C02.02*,-,Ja,-,08.3210,"Vitrektomie via pars plana, als alleinige Leistung"
,Pauschale,C02.02*,-,Ja,-,08.3320,Glaskörperspülung nach früherer Vitrektomie
,Pauschale,C02.02*,-,Ja,-,08.3340,"Silikonölentfernung oder Entfernung anderer innerer Plomben, inkl. allf. Membranpeeling"
,Pauschale,C02.02*,-,Ja,-,08.3350,Glaskörperbiopsie für zytologische Diagnostik
,Pauschale,C02.02*,-,Ja,-,08.3360,Entfernung eines intravitrealen oder wandständigen Fremdkörpers aus dem hinteren Bulbussegment
,Pauschale,C02.05*,-,Ja,-,08.0850,"Bindehautnaht, oberflächlich, bis 1 Quadrant, als alleinige Leistung"
,Pauschale,C02.05*,-,Ja,-,08.0880,"Exzision Bindehauttumor, ohne Naht"
,Pauschale,C02.05*,-,Ja,-,08.0890,"Exzision Bindehauttumor, mit Naht, mit/ohne Verschiebeplastik"
,Pauschale,C02.05*,-,Ja,-,08.0910,"Bindehautplastik, bis 1 Quadrant, als alleinige Leistung"
,Pauschale,C02.05*,-,Ja,-,08.2200,Korneanaht
,Pauschale,C02.05*,-,Ja,-,08.2260,Exzision eines Pterygiums
,Pauschale,C02.05*,-,Ja,-,08.2280,Limbustransplantation
,Pauschale,C02.05*,-,Ja,-,08.2350,"Keratoplastik, lamellär"
,Pauschale,C02.05*,-,Ja,-,08.2370,"Refraktive Keratotomie, chirurgisch"
,Pauschale,C02.05*,-,Ja,-,08.2390,"Keratomyleusis, chirurgisch"
,Pauschale,C02.05*,-,Ja,-,08.2400,Epikeratophakie
,Pauschale,C02.10*,-,Ja,-,08.2220,"Skleranaht, inkl. Revision"
,Pauschale,C02.10*,-,Ja,-,08.2290,"Sklerarevision, als alleinige Leistung"
,Pauschale,C02.10*,-,Ja,-,08.2570,"Trabekulektomie/Trabekulotomie/Goniotomie/Zyklodialyse, chirurgisch"
,Pauschale,C02.10*,-,Ja,-,08.2600,"Iridopexie (Mc-Cannel Naht), als alleinige Leistung"
,Pauschale,C02.15*,-,Ja,-,08.2430,Entfernung eines Fremdkörpers aus dem vorderen Bulbussegment
,Pauschale,C02.15*,-,Ja,-,08.2510,"Iridektomie/Korepraxie, chirurgisch, als alleinige Leistung"
,Pauschale,C02.15*,-,Ja,-,08.2530,"Vorderkammerrevision nach Trauma, als alleinige Leistung"
,Pauschale,C02.15*,-,Ja,-,08.2710,"Kapsulotomie/Membranotomie/Synechiolyse chirurgisch, als alleinige Leistung"
,Pauschale,C02.15*,-,Ja,-,08.2730,"Quellungsdiszision, Nachstardiszision chirurgisch, als alleinige Leistung"
,Pauschale,C02.15*,-,Ja,-,08.2740,"Linsenmassenaspiration, via Limbus, als alleinige Leistung"
,Pauschale,C02.15*,-,Ja,-,08.2750,"Kapsulektomie, Linsenmassenaspiration, via pars plana mit Vitrektomiegerät, als alleinige Leistung"
